,date,high,low,snow,precip
7087,1893-03-08,40.0,23.0,0,0.0
7088,1893-03-09,43.0,20.0,0,0.0
7089,1893-03-10,50.0,29.0,3,40.0
7090,1893-03-11,40.0,30.0,0,0.0
7091,1893-03-12,41.0,29.0,0,0.0
7092,1893-03-13,37.0,12.0,0,0.0
7093,1893-03-14,41.0,5.0,0,0.0
7094,1893-03-15,22.0,7.0,0,0.0
7095,1893-03-16,24.0,12.0,0,0.0
7096,1893-03-17,35.0,8.0,0,0.0
7097,1893-03-18,36.0,10.0,0,0.0
7098,1893-03-19,37.0,29.0,0,0.0
7099,1893-03-20,44.0,33.0,0,0.0
7100,1893-03-21,41.0,34.0,0,0.0
7101,1893-03-22,47.0,23.0,6,90.0
7102,1893-03-23,53.0,31.0,0,0.0
7103,1893-03-24,35.0,22.0,0,0.0
7104,1893-03-25,41.0,19.0,0,0.0
7105,1893-03-26,39.0,24.0,0,0.0
7106,1893-03-27,41.0,22.0,0,0.0
7107,1893-03-28,47.0,27.0,0,0.0
7108,1893-03-29,54.0,33.0,0,0.0
7109,1893-03-30,56.0,39.0,0,0.0
7110,1893-03-31,66.0,34.0,0,0.0
10800,1893-04-01,,,0,
10801,1893-04-02,,,0,
10802,1893-04-03,,,0,
10803,1893-04-04,,,0,
10804,1893-04-05,,,0,
10805,1893-04-06,,,0,
10806,1893-04-07,,,0,
10807,1893-04-08,,,0,
10808,1893-04-09,,,0,
10809,1893-04-10,,,0,
10810,1893-04-11,,,0,
10811,1893-04-12,,,0,
10812,1893-04-13,,,0,
10813,1893-04-14,,,0,
10814,1893-04-15,,,0,
10815,1893-04-16,,,0,
10816,1893-04-17,,,0,
10817,1893-04-18,,,0,
10818,1893-04-19,,,0,
10819,1893-04-20,,,0,
10820,1893-04-21,,,0,
10821,1893-04-22,,,0,
10822,1893-04-23,,,0,
10823,1893-04-24,,,0,
10824,1893-04-25,,,0,
10825,1893-04-26,,,0,
10826,1893-04-27,,,0,
10827,1893-04-28,,,0,
10828,1893-04-29,,,0,
10829,1893-04-30,,,0,
14400,1893-05-01,,,0,
14401,1893-05-02,,,0,
14402,1893-05-03,,,0,
14403,1893-05-04,,,0,
14404,1893-05-05,,,0,
14405,1893-05-06,,,0,
14406,1893-05-07,,,0,
14407,1893-05-08,,,0,
14408,1893-05-09,,,0,
14409,1893-05-10,,,0,
14410,1893-05-11,,,0,
14411,1893-05-12,,,0,
14412,1893-05-13,,,0,
14413,1893-05-14,,,0,
14414,1893-05-15,,,0,
14415,1893-05-16,,,0,
14416,1893-05-17,,,0,
14417,1893-05-18,,,0,
14418,1893-05-19,,,0,
14419,1893-05-20,,,0,
14420,1893-05-21,,,0,
14421,1893-05-22,,,0,
14422,1893-05-23,,,0,
14423,1893-05-24,,,0,
14424,1893-05-25,,,0,
14425,1893-05-26,,,0,
14426,1893-05-27,,,0,
14427,1893-05-28,,,0,
14428,1893-05-29,,,0,
14429,1893-05-30,,,0,
14430,1893-05-31,,,0,
18120,1893-06-01,,,0,
18121,1893-06-02,,,0,
18122,1893-06-03,,,0,
18123,1893-06-04,,,0,
18124,1893-06-05,,,0,
18125,1893-06-06,,,0,
18126,1893-06-07,,,0,
18127,1893-06-08,,,0,
18128,1893-06-09,,,0,
18129,1893-06-10,,,0,
18130,1893-06-11,,,0,
18131,1893-06-12,,,0,
18132,1893-06-13,,,0,
18133,1893-06-14,,,0,
18134,1893-06-15,,,0,
18135,1893-06-16,,,0,
18136,1893-06-17,,,0,
18137,1893-06-18,88.0,55.0,0,0.0
18138,1893-06-19,91.0,68.0,0,0.0
18139,1893-06-20,90.0,65.0,0,0.0
18140,1893-06-21,86.0,65.0,0,87.0
18141,1893-06-22,79.0,52.0,0,0.0
18142,1893-06-23,80.0,53.0,0,0.0
18143,1893-06-24,81.0,63.0,0,25.0
18144,1893-06-25,79.0,57.0,0,0.0
18145,1893-06-26,80.0,53.0,0,0.0
18146,1893-06-27,82.0,56.0,0,0.0
18147,1893-06-28,85.0,54.0,0,0.0
18148,1893-06-29,86.0,59.0,0,0.0
18149,1893-06-30,81.0,63.0,0,0.0
21720,1893-07-01,,,0,
21721,1893-07-02,,,0,
21722,1893-07-03,,,0,
21723,1893-07-04,,,0,
21724,1893-07-05,,,0,
21725,1893-07-06,,,0,
21726,1893-07-07,,,0,
21727,1893-07-08,,,0,
21728,1893-07-09,,,0,
21729,1893-07-10,,,0,
21730,1893-07-11,,,0,
21731,1893-07-12,,,0,
21732,1893-07-13,,,0,
21733,1893-07-14,,,0,
21734,1893-07-15,,,0,
21735,1893-07-16,,,0,
21736,1893-07-17,,,0,
21737,1893-07-18,,,0,
21738,1893-07-19,,,0,
21739,1893-07-20,,,0,
21740,1893-07-21,,,0,
21741,1893-07-22,,,0,
21742,1893-07-23,,,0,
21743,1893-07-24,,,0,
21744,1893-07-25,,,0,
21745,1893-07-26,,,0,
21746,1893-07-27,,,0,
21747,1893-07-28,,,0,
21748,1893-07-29,,,0,
21749,1893-07-30,,,0,
21750,1893-07-31,,,0,
25440,1893-08-01,83.0,53.0,0,0.0
25441,1893-08-02,85.0,55.0,0,0.0
25442,1893-08-03,87.0,58.0,0,0.0
25443,1893-08-04,89.0,64.0,0,0.0
25444,1893-08-05,86.0,59.0,0,0.0
25445,1893-08-06,79.0,48.0,0,0.0
25446,1893-08-07,82.0,56.0,0,0.0
25447,1893-08-08,93.0,62.0,0,0.0
25448,1893-08-09,93.0,62.0,0,0.0
25449,1893-08-10,84.0,56.0,0,42.0
25450,1893-08-11,72.0,46.0,0,0.0
25451,1893-08-12,76.0,53.0,0,0.0
25452,1893-08-13,76.0,51.0,0,0.0
25453,1893-08-14,82.0,68.0,0,0.0
25454,1893-08-15,81.0,65.0,0,0.0
25455,1893-08-16,79.0,48.0,0,0.0
25456,1893-08-17,85.0,55.0,0,0.0
25457,1893-08-18,77.0,45.0,0,0.0
25458,1893-08-19,80.0,52.0,0,0.0
25459,1893-08-20,82.0,57.0,0,0.0
25460,1893-08-21,81.0,62.0,0,6.0
25461,1893-08-22,87.0,65.0,0,2.0
25462,1893-08-23,88.0,65.0,0,0.0
25463,1893-08-24,76.0,53.0,0,0.0
25464,1893-08-25,65.0,47.0,0,0.0
25465,1893-08-26,83.0,61.0,0,0.0
25466,1893-08-27,76.0,49.0,0,0.0
25467,1893-08-28,64.0,40.0,0,0.0
25468,1893-08-29,74.0,38.0,0,0.0
25469,1893-08-30,78.0,42.0,0,0.0
25470,1893-08-31,81.0,54.0,0,0.0
29160,1893-09-01,,,0,
29161,1893-09-02,,,0,
29162,1893-09-03,,,0,
29163,1893-09-04,,,0,
29164,1893-09-05,,,0,
29165,1893-09-06,,,0,
29166,1893-09-07,,,0,
29167,1893-09-08,,,0,
29168,1893-09-09,,,0,
29169,1893-09-10,,,0,
29170,1893-09-11,,,0,
29171,1893-09-12,,,0,
29172,1893-09-13,,,0,
29173,1893-09-14,,,0,
29174,1893-09-15,,,0,
29175,1893-09-16,,,0,
29176,1893-09-17,,,0,
29177,1893-09-18,,,0,
29178,1893-09-19,,,0,
29179,1893-09-20,,,0,
29180,1893-09-21,,,0,
29181,1893-09-22,,,0,
29182,1893-09-23,,,0,
29183,1893-09-24,,,0,
29184,1893-09-25,,,0,
29185,1893-09-26,,,0,
29186,1893-09-27,,,0,
29187,1893-09-28,,,0,
29188,1893-09-29,,,0,
29189,1893-09-30,,,0,
32760,1893-10-01,69.0,51.0,0,0.0
32761,1893-10-02,59.0,41.0,0,0.0
32762,1893-10-03,59.0,40.0,0,0.0
32763,1893-10-04,63.0,44.0,0,0.0
32764,1893-10-05,70.0,49.0,0,130.0
32765,1893-10-06,58.0,36.0,0,70.0
32766,1893-10-07,69.0,44.0,0,0.0
32767,1893-10-08,78.0,43.0,0,0.0
32768,1893-10-09,74.0,56.0,0,0.0
32769,1893-10-10,83.0,62.0,0,0.0
32770,1893-10-11,79.0,46.0,0,50.0
32771,1893-10-12,57.0,50.0,0,0.0
32772,1893-10-13,59.0,41.0,0,0.0
32773,1893-10-14,46.0,32.0,0,0.0
32774,1893-10-15,62.0,34.0,0,0.0
32775,1893-10-16,66.0,43.0,0,0.0
32776,1893-10-17,68.0,42.0,0,0.0
32777,1893-10-18,69.0,45.0,0,0.0
32778,1893-10-19,56.0,42.0,0,0.0
32779,1893-10-20,62.0,34.0,0,0.0
32780,1893-10-21,75.0,54.0,0,0.0
32781,1893-10-22,76.0,59.0,0,0.0
32782,1893-10-23,80.0,28.0,0,0.0
32783,1893-10-24,46.0,24.0,0,0.0
32784,1893-10-25,51.0,37.0,0,15.0
32785,1893-10-26,43.0,27.0,0,0.0
32786,1893-10-27,57.0,23.0,0,8.0
32787,1893-10-28,38.0,16.0,0,0.0
32788,1893-10-29,38.0,14.0,0,0.0
32789,1893-10-30,37.0,20.0,0,0.0
32790,1893-10-31,63.0,32.0,0,0.0
36480,1893-11-01,72.0,33.0,0,0.0
36481,1893-11-02,37.0,20.0,0,0.0
36482,1893-11-03,49.0,18.0,0,0.0
36483,1893-11-04,53.0,27.0,0,0.0
36484,1893-11-05,65.0,26.0,0,0.0
36485,1893-11-06,79.0,39.0,0,0.0
36486,1893-11-07,63.0,29.0,0,0.0
36487,1893-11-08,64.0,27.0,0,0.0
36488,1893-11-09,64.0,29.0,0,0.0
36489,1893-11-10,62.0,42.0,0,0.0
36490,1893-11-11,61.0,32.0,0,0.0
36491,1893-11-12,38.0,24.0,0,0.0
36492,1893-11-13,42.0,18.0,0,0.0
36493,1893-11-14,39.0,13.0,0,0.0
36494,1893-11-15,30.0,26.0,0,0.0
36495,1893-11-16,52.0,25.0,0,0.0
36496,1893-11-17,47.0,8.0,0,0.0
36497,1893-11-18,32.0,20.0,0,0.0
36498,1893-11-19,32.0,18.0,0,0.0
36499,1893-11-20,55.0,31.0,0,0.0
36500,1893-11-21,36.0,21.0,4,40.0
36501,1893-11-22,22.0,7.0,0,0.0
36502,1893-11-23,12.0,-7.0,0,0.0
36503,1893-11-24,12.0,-6.0,0,0.0
36504,1893-11-25,32.0,10.0,8,90.0
36505,1893-11-26,33.0,31.0,1,6.0
36506,1893-11-27,35.0,21.0,0,0.0
36507,1893-11-28,33.0,20.0,0,0.0
36508,1893-11-29,22.0,10.0,0,0.0
36509,1893-11-30,10.0,-13.0,2,15.0
40080,1893-12-01,4.0,-8.0,0,0.0
40081,1893-12-02,12.0,-1.0,1,2.0
40082,1893-12-03,12.0,-7.0,0,0.0
40083,1893-12-04,36.0,11.0,0,0.0
40084,1893-12-05,23.0,1.0,0,0.0
40085,1893-12-06,16.0,9.0,1,2.0
40086,1893-12-07,29.0,14.0,0,0.0
40087,1893-12-08,33.0,23.0,0,0.0
40088,1893-12-09,36.0,3.0,1,2.0
40089,1893-12-10,14.0,5.0,3,28.0
40090,1893-12-11,20.0,-7.0,0,0.0
40091,1893-12-12,-4.0,-13.0,0,0.0
40092,1893-12-13,23.0,-12.0,0,0.0
40093,1893-12-14,33.0,30.0,4,47.0
40094,1893-12-15,33.0,12.0,3,21.0
40095,1893-12-16,17.0,-2.0,0,0.0
40096,1893-12-17,27.0,12.0,0,0.0
40097,1893-12-18,35.0,3.0,0,0.0
40098,1893-12-19,14.0,-3.0,0,0.0
40099,1893-12-20,30.0,14.0,0,0.0
40100,1893-12-21,41.0,25.0,0,0.0
40101,1893-12-22,44.0,23.0,0,0.0
40102,1893-12-23,50.0,34.0,2,8.0
40103,1893-12-24,53.0,33.0,4,53.0
40104,1893-12-25,33.0,22.0,1,3.0
40105,1893-12-26,28.0,21.0,0,0.0
40106,1893-12-27,37.0,29.0,2,6.0
40107,1893-12-28,36.0,12.0,0,0.0
40108,1893-12-29,18.0,11.0,0,0.0
40109,1893-12-30,27.0,23.0,0,0.0
40110,1893-12-31,36.0,30.0,0,0.0
31,1894-01-01,45.0,30.0,0,0.0
32,1894-01-02,40.0,22.0,0,0.0
33,1894-01-03,37.0,6.0,0,0.0
34,1894-01-04,24.0,12.0,0,0.0
35,1894-01-05,22.0,16.0,3,22.0
36,1894-01-06,7.0,-12.0,0,0.0
37,1894-01-07,12.0,-16.0,0,0.0
38,1894-01-08,18.0,5.0,0,0.0
39,1894-01-09,17.0,-1.0,0,0.0
40,1894-01-10,24.0,9.0,0,0.0
41,1894-01-11,17.0,6.0,0,0.0
42,1894-01-12,36.0,14.0,0,0.0
43,1894-01-13,47.0,24.0,0,0.0
44,1894-01-14,36.0,29.0,0,0.0
45,1894-01-15,42.0,35.0,0,0.0
46,1894-01-16,50.0,37.0,0,0.0
47,1894-01-17,53.0,22.0,0,0.0
48,1894-01-18,36.0,16.0,0,0.0
49,1894-01-19,36.0,18.0,1,42.0
50,1894-01-20,41.0,20.0,0,14.0
51,1894-01-21,28.0,-3.0,0,0.0
52,1894-01-22,6.0,-4.0,0,0.0
53,1894-01-23,-2.0,-15.0,2,14.0
54,1894-01-24,27.0,-24.0,0,0.0
55,1894-01-25,6.0,-1.0,0,0.0
56,1894-01-26,8.0,-10.0,0,0.0
57,1894-01-27,12.0,-7.0,0,0.0
58,1894-01-28,23.0,0.0,3,22.0
59,1894-01-29,23.0,1.0,0,0.0
60,1894-01-30,24.0,-2.0,0,0.0
61,1894-01-31,18.0,3.0,0,0.0
3748,1894-02-01,18.0,-6.0,0,0.0
3749,1894-02-02,23.0,5.0,0,0.0
3750,1894-02-03,22.0,0.0,0,0.0
3751,1894-02-04,20.0,-14.0,0,0.0
3752,1894-02-05,37.0,4.0,0,0.0
3753,1894-02-06,40.0,19.0,0,0.0
3754,1894-02-07,43.0,14.0,0,0.0
3755,1894-02-08,44.0,16.0,0,0.0
3756,1894-02-09,36.0,30.0,0,21.0
3757,1894-02-10,17.0,5.0,0,0.0
3758,1894-02-11,14.0,-4.0,0,0.0
3759,1894-02-12,19.0,10.0,0,13.0
3760,1894-02-13,24.0,4.0,0,0.0
3761,1894-02-14,37.0,-2.0,0,0.0
3762,1894-02-15,19.0,4.0,0,0.0
3763,1894-02-16,32.0,-1.0,0,0.0
3764,1894-02-17,38.0,18.0,0,0.0
3765,1894-02-18,40.0,6.0,0,0.0
3766,1894-02-19,8.0,-3.0,0,0.0
3767,1894-02-20,4.0,-5.0,0,0.0
3768,1894-02-21,18.0,-8.0,0,0.0
3769,1894-02-22,13.0,3.0,0,0.0
3770,1894-02-23,13.0,0.0,0,0.0
3771,1894-02-24,21.0,-9.0,0,0.0
3772,1894-02-25,35.0,6.0,0,0.0
3773,1894-02-26,42.0,9.0,0,0.0
3774,1894-02-27,48.0,29.0,0,0.0
3775,1894-02-28,42.0,32.0,0,0.0
7111,1894-03-01,50.0,32.0,0,0.0
7112,1894-03-02,52.0,24.0,0,0.0
7113,1894-03-03,64.0,38.0,0,0.0
7114,1894-03-04,59.0,38.0,0,112.0
7115,1894-03-05,50.0,32.0,1,34.0
7116,1894-03-06,38.0,21.0,0,0.0
7117,1894-03-07,36.0,29.0,0,0.0
7118,1894-03-08,43.0,19.0,1,15.0
7119,1894-03-09,52.0,32.0,0,0.0
7120,1894-03-10,66.0,38.0,0,0.0
7121,1894-03-11,49.0,30.0,0,0.0
7122,1894-03-12,55.0,29.0,0,0.0
7123,1894-03-13,49.0,36.0,0,0.0
7124,1894-03-14,46.0,24.0,0,0.0
7125,1894-03-15,46.0,34.0,1,8.0
7126,1894-03-16,63.0,23.0,0,0.0
7127,1894-03-17,77.0,39.0,0,0.0
7128,1894-03-18,57.0,44.0,0,42.0
7129,1894-03-19,43.0,37.0,0,0.0
7130,1894-03-20,43.0,36.0,1,26.0
7131,1894-03-21,66.0,44.0,0,0.0
7132,1894-03-22,51.0,39.0,0,0.0
7133,1894-03-23,43.0,25.0,0,0.0
7134,1894-03-24,23.0,10.0,0,0.0
7135,1894-03-25,23.0,3.0,0,0.0
7136,1894-03-26,21.0,7.0,0,0.0
7137,1894-03-27,37.0,8.0,0,0.0
7138,1894-03-28,33.0,7.0,2,46.0
7139,1894-03-29,35.0,7.0,0,0.0
7140,1894-03-30,52.0,27.0,0,0.0
7141,1894-03-31,45.0,37.0,0,0.0
10830,1894-04-01,45.0,26.0,0,0.0
10831,1894-04-02,52.0,22.0,0,0.0
10832,1894-04-03,54.0,40.0,0,15.0
10833,1894-04-04,50.0,36.0,0,0.0
10834,1894-04-05,52.0,32.0,0,0.0
10835,1894-04-06,65.0,31.0,0,0.0
10836,1894-04-07,54.0,34.0,0,7.0
10837,1894-04-08,49.0,32.0,0,0.0
10838,1894-04-09,38.0,34.0,0,90.0
10839,1894-04-10,37.0,30.0,0,0.0
10840,1894-04-11,45.0,33.0,0,0.0
10841,1894-04-12,59.0,36.0,0,0.0
10842,1894-04-13,58.0,40.0,0,3.0
10843,1894-04-14,64.0,42.0,0,0.0
10844,1894-04-15,67.0,45.0,0,0.0
10845,1894-04-16,73.0,40.0,0,0.0
10846,1894-04-17,72.0,50.0,0,122.0
10847,1894-04-18,76.0,58.0,0,0.0
10848,1894-04-19,65.0,43.0,0,7.0
10849,1894-04-20,50.0,34.0,0,0.0
10850,1894-04-21,54.0,36.0,0,0.0
10851,1894-04-22,58.0,34.0,0,0.0
10852,1894-04-23,69.0,33.0,0,0.0
10853,1894-04-24,72.0,35.0,0,0.0
10854,1894-04-25,73.0,40.0,0,0.0
10855,1894-04-26,75.0,40.0,0,0.0
10856,1894-04-27,77.0,50.0,0,35.0
10857,1894-04-28,75.0,53.0,0,0.0
10858,1894-04-29,79.0,55.0,0,28.0
10859,1894-04-30,75.0,62.0,0,57.0
14431,1894-05-01,,,0,
14432,1894-05-02,,,0,
14433,1894-05-03,,,0,
14434,1894-05-04,,,0,
14435,1894-05-05,,,0,
14436,1894-05-06,,,0,
14437,1894-05-07,,,0,
14438,1894-05-08,,,0,
14439,1894-05-09,,,0,
14440,1894-05-10,,,0,
14441,1894-05-11,,,0,
14442,1894-05-12,,,0,
14443,1894-05-13,,,0,
14444,1894-05-14,,,0,
14445,1894-05-15,,,0,
14446,1894-05-16,,,0,
14447,1894-05-17,,,0,
14448,1894-05-18,,,0,
14449,1894-05-19,,,0,
14450,1894-05-20,,,0,
14451,1894-05-21,,,0,
14452,1894-05-22,,,0,
14453,1894-05-23,,,0,
14454,1894-05-24,,,0,
14455,1894-05-25,,,0,
14456,1894-05-26,,,0,
14457,1894-05-27,,,0,
14458,1894-05-28,,,0,
14459,1894-05-29,,,0,
14460,1894-05-30,,,0,
14461,1894-05-31,,,0,
18150,1894-06-01,80.0,47.0,0,0.0
18151,1894-06-02,84.0,50.0,0,0.0
18152,1894-06-03,83.0,62.0,0,0.0
18153,1894-06-04,78.0,45.0,0,0.0
18154,1894-06-05,62.0,42.0,0,0.0
18155,1894-06-06,71.0,36.0,0,0.0
18156,1894-06-07,84.0,41.0,0,0.0
18157,1894-06-08,88.0,47.0,0,0.0
18158,1894-06-09,85.0,58.0,0,0.0
18159,1894-06-10,85.0,57.0,0,0.0
18160,1894-06-11,93.0,63.0,0,0.0
18161,1894-06-12,92.0,58.0,0,0.0
18162,1894-06-13,93.0,65.0,0,0.0
18163,1894-06-14,93.0,61.0,0,0.0
18164,1894-06-15,87.0,63.0,0,57.0
18165,1894-06-16,83.0,65.0,0,39.0
18166,1894-06-17,74.0,59.0,0,0.0
18167,1894-06-18,78.0,64.0,0,0.0
18168,1894-06-19,81.0,52.0,0,0.0
18169,1894-06-20,93.0,66.0,0,0.0
18170,1894-06-21,100.0,61.0,0,0.0
18171,1894-06-22,87.0,63.0,0,0.0
18172,1894-06-23,86.0,67.0,0,22.0
18173,1894-06-24,84.0,63.0,0,15.0
18174,1894-06-25,82.0,58.0,0,16.0
18175,1894-06-26,83.0,54.0,0,115.0
18176,1894-06-27,87.0,59.0,0,0.0
18177,1894-06-28,85.0,65.0,0,0.0
18178,1894-06-29,91.0,57.0,0,0.0
18179,1894-06-30,92.0,65.0,0,0.0
21751,1894-07-01,86.0,67.0,0,0.0
21752,1894-07-02,84.0,55.0,0,0.0
21753,1894-07-03,82.0,54.0,0,0.0
21754,1894-07-04,78.0,54.0,0,0.0
21755,1894-07-05,87.0,45.0,0,0.0
21756,1894-07-06,97.0,55.0,0,0.0
21757,1894-07-07,81.0,44.0,0,0.0
21758,1894-07-08,84.0,49.0,0,0.0
21759,1894-07-09,88.0,57.0,0,0.0
21760,1894-07-10,87.0,55.0,0,0.0
21761,1894-07-11,96.0,66.0,0,0.0
21762,1894-07-12,95.0,70.0,0,0.0
21763,1894-07-13,86.0,57.0,0,0.0
21764,1894-07-14,89.0,50.0,0,0.0
21765,1894-07-15,95.0,50.0,0,0.0
21766,1894-07-16,93.0,54.0,0,0.0
21767,1894-07-17,97.0,55.0,0,0.0
21768,1894-07-18,97.0,60.0,0,0.0
21769,1894-07-19,96.0,60.0,0,31.0
21770,1894-07-20,85.0,65.0,0,0.0
21771,1894-07-21,85.0,51.0,0,0.0
21772,1894-07-22,89.0,47.0,0,0.0
21773,1894-07-23,97.0,60.0,0,0.0
21774,1894-07-24,91.0,65.0,0,0.0
21775,1894-07-25,90.0,54.0,0,0.0
21776,1894-07-26,104.0,71.0,0,0.0
21777,1894-07-27,100.0,70.0,0,11.0
21778,1894-07-28,92.0,66.0,0,0.0
21779,1894-07-29,92.0,60.0,0,0.0
21780,1894-07-30,95.0,52.0,0,0.0
21781,1894-07-31,81.0,66.0,0,0.0
25471,1894-08-01,91.0,72.0,0,0.0
25472,1894-08-02,75.0,53.0,0,0.0
25473,1894-08-03,77.0,40.0,0,0.0
25474,1894-08-04,83.0,45.0,0,0.0
25475,1894-08-05,92.0,45.0,0,0.0
25476,1894-08-06,93.0,66.0,0,0.0
25477,1894-08-07,102.0,66.0,0,0.0
25478,1894-08-08,102.0,68.0,0,0.0
25479,1894-08-09,92.0,68.0,0,49.0
25480,1894-08-10,89.0,63.0,0,4.0
25481,1894-08-11,87.0,67.0,0,0.0
25482,1894-08-12,86.0,60.0,0,0.0
25483,1894-08-13,88.0,58.0,0,0.0
25484,1894-08-14,83.0,68.0,0,0.0
25485,1894-08-15,78.0,56.0,0,0.0
25486,1894-08-16,87.0,54.0,0,0.0
25487,1894-08-17,89.0,65.0,0,0.0
25488,1894-08-18,86.0,58.0,0,0.0
25489,1894-08-19,85.0,53.0,0,0.0
25490,1894-08-20,91.0,58.0,0,0.0
25491,1894-08-21,86.0,59.0,0,0.0
25492,1894-08-22,88.0,53.0,0,0.0
25493,1894-08-23,94.0,68.0,0,0.0
25494,1894-08-24,92.0,66.0,0,0.0
25495,1894-08-25,85.0,64.0,0,0.0
25496,1894-08-26,87.0,48.0,0,0.0
25497,1894-08-27,90.0,53.0,0,0.0
25498,1894-08-28,93.0,56.0,0,0.0
25499,1894-08-29,82.0,61.0,0,0.0
25500,1894-08-30,79.0,48.0,0,0.0
25501,1894-08-31,85.0,47.0,0,0.0
29190,1894-09-01,95.0,62.0,0,0.0
29191,1894-09-02,92.0,61.0,0,0.0
29192,1894-09-03,85.0,68.0,0,0.0
29193,1894-09-04,88.0,63.0,0,0.0
29194,1894-09-05,92.0,53.0,0,0.0
29195,1894-09-06,77.0,64.0,0,164.0
29196,1894-09-07,83.0,66.0,0,10.0
29197,1894-09-08,77.0,59.0,0,12.0
29198,1894-09-09,67.0,49.0,0,0.0
29199,1894-09-10,64.0,46.0,0,0.0
29200,1894-09-11,69.0,36.0,0,0.0
29201,1894-09-12,72.0,43.0,0,0.0
29202,1894-09-13,68.0,52.0,0,0.0
29203,1894-09-14,84.0,60.0,0,34.0
29204,1894-09-15,74.0,50.0,0,0.0
29205,1894-09-16,77.0,56.0,0,0.0
29206,1894-09-17,80.0,50.0,0,0.0
29207,1894-09-18,73.0,31.0,0,0.0
29208,1894-09-19,80.0,45.0,0,0.0
29209,1894-09-20,68.0,50.0,0,0.0
29210,1894-09-21,66.0,50.0,0,0.0
29211,1894-09-22,71.0,52.0,0,120.0
29212,1894-09-23,58.0,36.0,0,18.0
29213,1894-09-24,55.0,37.0,0,0.0
29214,1894-09-25,68.0,31.0,0,0.0
29215,1894-09-26,76.0,51.0,0,0.0
29216,1894-09-27,80.0,45.0,0,0.0
29217,1894-09-28,85.0,62.0,0,0.0
29218,1894-09-29,84.0,44.0,0,45.0
29219,1894-09-30,55.0,39.0,0,0.0
32791,1894-10-01,60.0,31.0,0,80.0
32792,1894-10-02,70.0,42.0,0,0.0
32793,1894-10-03,60.0,40.0,0,0.0
32794,1894-10-04,49.0,39.0,0,0.0
32795,1894-10-05,48.0,40.0,0,0.0
32796,1894-10-06,61.0,31.0,0,0.0
32797,1894-10-07,58.0,36.0,0,0.0
32798,1894-10-08,50.0,35.0,0,0.0
32799,1894-10-09,61.0,28.0,0,0.0
32800,1894-10-10,57.0,37.0,0,0.0
32801,1894-10-11,68.0,25.0,0,0.0
32802,1894-10-12,62.0,46.0,0,0.0
32803,1894-10-13,57.0,33.0,0,0.0
32804,1894-10-14,54.0,28.0,0,0.0
32805,1894-10-15,65.0,38.0,0,0.0
32806,1894-10-16,70.0,36.0,0,0.0
32807,1894-10-17,61.0,35.0,0,0.0
32808,1894-10-18,78.0,29.0,0,0.0
32809,1894-10-19,71.0,51.0,0,50.0
32810,1894-10-20,78.0,55.0,0,0.0
32811,1894-10-21,73.0,56.0,0,71.0
32812,1894-10-22,66.0,40.0,0,0.0
32813,1894-10-23,68.0,45.0,0,0.0
32814,1894-10-24,64.0,33.0,0,0.0
32815,1894-10-25,63.0,47.0,0,30.0
32816,1894-10-26,56.0,40.0,0,13.0
32817,1894-10-27,64.0,35.0,0,0.0
32818,1894-10-28,57.0,48.0,0,19.0
32819,1894-10-29,55.0,40.0,0,20.0
32820,1894-10-30,45.0,38.0,0,0.0
32821,1894-10-31,43.0,37.0,0,0.0
